flaeche_km2,pop_insgesamt,pop_maennlich,pop_weiblich,pop_density,stadt_name
88.74,87513,42309,45204,986,Ratingen
59.39,87266,42512,44754,1469,Lünen
54.12,85770,40910,44860,1585,Konstanz
108.73,85609,42650,42959,787,Worms
87.76,85001,41621,43380,969,Marl
101.12,83100,40938,42162,822,Minden
58.1,82719,40260,42459,1424,Norderstedt
74.9,82462,40423,42039,1101,Velbert
54.62,80580,39589,40991,1475,Bamberg
71.66,80185,39772,40413,1119,Neumünster
245.78,79686,38528,41158,324,Dessau-Roßlau
91.1,79250,38609,40641,870,Viersen
62.45,78979,38984,39995,1265,Delmenhorst
145.0,78220,38599,39621,539,Rheine
123.91,78203,36852,41351,631,Marburg
70.5,77511,37099,40412,1099,Lüneburg
171.2,76842,37356,39486,449,Dorsten
62.0,76503,37608,38895,1234,Troisdorf
107.11,76247,37481,38766,712,Wilhelmshaven
35.97,75799,36883,38916,2107,Gladbeck
65.83,75272,36756,38516,1143,Landshut
66.89,74907,36670,38237,1120,Bayreuth
129.39,74835,36108,38727,578,Detmold
51.68,74370,36409,37961,1439,Castrop-Rauxel
193.72,74206,36458,37748,383,Arnsberg
229.73,73921,36286,37635,322,Brandenburg an der Havel
62.45,72918,35432,37486,1168,Aschaffenburg
119.4,72409,35603,36806,606,Bocholt
87.02,71463,35125,36338,821,Lüdenscheid
63.28,70713,35028,35685,1117,Kempten (Allgäu)
104.05,70366,34810,35556,676,Fulda
176.02,70293,34005,36288,399,Celle
146.58,69147,34458,34689,472,Aalen
113.68,69047,34046,35001,607,Lippstadt
47.66,67949,32750,35199,1426,Dinslaken
58.29,67656,33895,33761,1161,Rüsselsheim am Main
113.96,67627,33332,34295,593,Kerpen
79.15,67265,33011,34254,850,Herford
86.5,66243,32664,33579,766,Neuwied
84.47,65611,31599,34012,777,Weimar
50.83,65504,32668,32836,1289,Sindelfingen
102.11,65218,31970,33248,639,Plauen
37.22,65192,32453,32739,1752,Rosenheim
85.5,65170,32435,32735,762,Dormagen
102.52,64588,31179,33409,630,Grevenbroich
86.12,64390,31154,33236,748,Neubrandenburg
69.93,63441,31422,32019,907,Friedrichshafen
113.81,62726,30575,32151,551,Schwäbisch Gmünd
37.33,62204,30351,31853,1666,Herten
78.37,62195,30807,31388,794,Offenburg
96.34,62172,30305,31867,645,Bergheim
80.95,61780,30663,31117,763,Neu-Ulm
79.49,61594,30032,31562,775,Garbsen
122.56,61277,29776,31501,500,Wesel
51.22,61252,29876,31376,1196,Hürth
139.49,60256,29737,30519,432,Euskirchen
88.56,60223,29278,30945,680,Unna
50.81,60071,28501,31570,1182,Greifswald
41.15,59908,29103,30805,1456,Langenfeld (Rheinland)
54.59,59450,28865,30585,1089,Stralsund
59.21,59300,29501,29799,1002,Göppingen
147.85,58818,28657,30161,398,Frankfurt (Oder)
102.53,57916,27702,30214,565,Hameln
64.4,57440,27562,29878,892,Meerbusch
140.19,57420,27501,29919,410,Baden-Baden
176.19,57075,28507,28568,324,Lingen (Ems)
67.53,56694,27284,29410,840,Görlitz
34.22,56692,27764,28928,1657,Sankt Augustin
98.48,56584,27954,28630,575,Stolberg (Rhld.)
72.15,56284,27201,29083,780,Pulheim
75.75,56132,27589,28543,741,Eschweiler
51.14,55995,26558,29437,1095,Bad Homburg v. d. Höhe
42.75,55917,27369,28548,1308,Waiblingen
71.97,55746,27551,28195,775,Langenhagen
25.95,55689,26861,28828,2146,Hilden
149.86,55619,27426,28193,371,Nordhorn
35.7,55067,27308,27759,1542,Schweinfurt
75.65,54629,26517,28112,722,Wetzlar
71.67,54620,26519,28101,762,Hattingen
100.05,54585,26388,28197,546,Bad Salzuflen
69.56,54401,26467,27934,782,Passau
117.09,53920,26353,27567,461,Neustadt an der Weinstraße
97.76,53458,26550,26908,547,Kleve
123.13,53278,26030,27248,433,Ahlen
45.06,53128,25954,27174,1179,Frechen
78.74,53034,26166,26868,674,Wolfenbüttel
55.56,52989,25315,27674,954,Bad Kreuznach
108.87,52688,26068,26620,484,Ibbenbüren
86.1,52177,25478,26699,606,Menden (Sauerland)
39.04,52093,25834,26259,1334,Böblingen
95.41,51845,25564,26281,543,Gummersbach
58.98,51800,25947,25853,878,Rastatt
92.05,51788,25920,25868,563,Ravensburg
119.84,51521,25482,26039,430,Peine
42.71,51203,24998,26205,1199,Speyer
21.36,50728,24907,25821,2375,Elmshorn
39.37,50670,24746,25924,1287,Lörrach
112.34,50659,25242,25417,451,Emden
163.88,50253,24592,25661,307,Goslar
67.8,50212,24605,25607,741,Willich
78.82,50151,25126,25025,636,Gronau (Westf.)
119.89,50018,24230,25788,417,Erftstadt
