flaeche_km2,pop_insgesamt,pop_maennlich,pop_weiblich,pop_density,stadt_name
15.66,1438,709,729,92,Hohenberg a.d.Eger
9.53,1426,798,628,150,Hohenleuben
13.34,1419,710,709,106,Hornbach
17.54,1398,733,665,80,Aub
38.91,1377,684,693,35,Kroppenstedt
15.67,1365,677,688,87,Richtenberg
15.2,1353,656,697,89,Franzburg
73.03,1338,670,668,18,Lieberose
7.06,1281,653,628,181,Sankt Goarshausen
37.36,1248,642,606,33,Liebstadt
26.9,1194,653,541,44,Schwarzenborn
20.3,1145,568,577,56,Neustadt am Kulm
8.28,1070,544,526,129,Kupferberg
7.07,1066,525,541,151,Schraplau
7.47,1063,540,523,142,Orlamünde
10.15,1054,521,533,104,Obermoschel
10.75,1037,507,530,96,Clingen
9.47,1026,504,522,108,Lichtenberg
12.07,1022,517,505,85,Rothenfels
4.62,958,500,458,207,Kyllburg
53.2,933,484,449,18,Werben (Elbe)
7.33,889,427,462,121,Stößen
24.86,885,453,432,36,Märkisch Buchholz
18.56,831,393,438,45,Sandau (Elbe)
13.05,786,402,384,60,Kaub
8.25,615,303,312,75,Ziegenrück
23.7,521,259,262,22,Schnackenburg
8.67,482,253,229,56,Neumark
15.73,463,237,226,29,Ummerstadt
0.45,254,125,129,564,Arnis
