flaeche_km2,pop_insgesamt,pop_maennlich,pop_weiblich,pop_density,stadt_name,latitude,longitude
153.04,237244,112660,124584,1550,Freiburg im Breisgau,47.9960901,7.8494005
137.77,228550,111419,117131,1659,Krefeld,51.3331205,6.5623343
97.73,222889,108873,114016,2281,Mainz,49.9995205,8.2736253
214.19,219044,105259,113785,1023,Lübeck,53.866444,10.684738
269.91,215675,104791,110884,799,Erfurt,50.9777974,11.0287364
77.09,211099,103059,108040,2738,Oberhausen,51.4696137,6.8514435
181.36,210795,103349,107446,1162,Rostock,54.0886707,12.1400211
106.79,204687,100203,104484,1917,Kassel,51.3157833,9.4978479
160.45,190490,93469,97021,1187,Hagen,51.3582945,7.473296
188.24,187119,90107,97012,994,Potsdam,52.4009309,13.0591397
167.52,183509,91475,92034,1095,Saarbrücken,49.234362,6.996379
226.66,180761,89286,91475,797,Hamm,50.0165178,6.4184628
77.43,176110,88552,87558,2274,Ludwigshafen am Rhein,49.4704113,8.4381568
103.09,174629,83608,91021,1694,Oldenburg (Oldenburg),53.1389753,8.2146017
91.28,173255,83637,89618,1898,Mülheim an der Ruhr,51.4272925,6.8829192
119.8,166960,80585,86375,1394,Osnabrück,52.2719595,8.047635
78.87,166414,81121,85293,2110,Leverkusen,51.0324743,6.9881194
122.07,164792,84206,80586,1350,Darmstadt,49.8851869,8.6736295
108.83,162960,77929,85031,1497,Heidelberg,49.4093582,8.694724
89.54,161545,78754,82791,1804,Solingen,51.1721629,7.0845893
80.86,159465,78024,81441,1972,Regensburg,49.0195333,12.0974869
51.42,157896,77401,80495,3071,Herne,51.5380394,7.219985
179.59,155749,77843,77906,867,Paderborn,51.7177044,8.752653
99.52,155163,75336,79827,1559,Neuss,51.1981778,6.6916476
133.35,142308,72076,70232,1067,Ingolstadt,48.7630165,11.4250395
44.88,135490,67279,68211,3019,Offenbach am Main,50.1055002,8.7610698
63.35,132032,64793,67239,2084,Fürth,49.4885711,10.9587203
99.89,130093,65794,64299,1302,Heilbronn,49.142291,9.218655
118.68,129942,64384,65558,1095,Ulm,48.3984968,9.9912458
97.99,128992,63717,65275,1316,Pforzheim,48.890934,8.7025509
87.6,128246,61560,66686,1464,Würzburg,49.7780356,9.9434769
204.62,127256,63352,63904,622,Wolfsburg,52.4205588,10.7861682
117.02,120261,58433,61828,1028,Göttingen,51.5328328,9.9351811
100.61,118705,57841,60864,1180,Bottrop,51.521581,6.929204
87.04,118528,58803,59725,1362,Reutlingen,48.4919508,9.2114144
76.96,117806,58694,59112,1531,Erlangen,49.5891571,10.9812072
105.25,115298,56682,58616,1095,Koblenz,50.3533278,7.5943951
101.41,114677,56716,57961,1131,Bremerhaven,53.5505392,8.5851945
74.52,112970,56058,56912,1516,Remscheid,51.1798706,7.1943544
117.06,112737,55783,56954,963,Trier,49.7596208,6.6441878
83.09,112660,53929,58731,1356,Bergisch Gladbach,50.9929303,7.1277379
66.5,111693,54223,57470,1680,Recklinghausen,51.6143815,7.1978546
114.77,110791,55060,55731,965,Jena,50.9281717,11.5879359
67.64,105606,51248,54358,1561,Moers,51.451283,6.62843
224.49,105039,52386,52653,468,Salzgitter,52.1503721,10.3593147
76.28,103184,50927,52257,1353,Hanau,50.132881,8.9169797
112.02,102464,50733,51731,915,Gütersloh,51.9063997,8.3782078
92.29,102325,48866,53459,1109,Hildesheim,52.1527188,9.9518083
114.69,102114,50110,52004,890,Siegen,50.8751175,8.0256131
139.7,101486,51241,50245,726,Kaiserslautern,49.4432174,7.7689951
165.61,100010,48883,51127,604,Cottbus/Chóśebuz,51.7567447,14.3357307
130.52,98733,47339,51394,756,Schwerin,53.6288297,11.4148038
46.43,95881,48521,47360,2065,Esslingen am Neckar,48.7427584,9.3071685
72.4,95724,46540,49184,1322,Witten,51.4370171,7.335124
72.61,94996,46730,48266,1308,Gießen,50.5808795,8.6938161
43.34,94859,46775,48084,2189,Ludwigsburg,48.8953937,9.1895147
152.18,94847,45922,48925,623,Gera,50.8765537,12.0832666
108.07,93615,44250,49365,866,Tübingen,48.5203263,9.053596
85.01,93323,46221,47102,1098,Düren,50.8031684,6.4820806
56.73,92667,45905,46762,1633,Flensburg,54.7833021,9.4333264
125.49,92404,45063,47341,736,Iserlohn,51.3746778,7.6999713
165.53,89145,43827,45318,539,Villingen-Schwenningen,48.063152,8.4929618
102.58,87593,42936,44657,854,Zwickau,50.7185043,12.4939267
88.74,87513,42309,45204,986,Ratingen,51.2973261,6.8493503
59.39,87266,42512,44754,1469,Lünen,51.6142482,7.5228088
54.12,85770,40910,44860,1585,Konstanz,47.659216,9.1750718
108.73,85609,42650,42959,787,Worms,49.6302618,8.3620898
87.76,85001,41621,43380,969,Marl,51.6485843,7.0829054
101.12,83100,40938,42162,822,Minden,49.823792,6.4688309
58.1,82719,40260,42459,1424,Norderstedt,53.7089898,9.9891914
74.9,82462,40423,42039,1101,Velbert,51.3406713,7.0439912
54.62,80580,39589,40991,1475,Bamberg,49.8916044,10.8868478
71.66,80185,39772,40413,1119,Neumünster,54.0703296,9.9884451
245.78,79686,38528,41158,324,Dessau-Roßlau,51.8465924,12.2312238
91.1,79250,38609,40641,870,Viersen,51.2562118,6.3905476
62.45,78979,38984,39995,1265,Delmenhorst,53.048095,8.6286066
145.0,78220,38599,39621,539,Rheine,52.2797707,7.4373615
123.91,78203,36852,41351,631,Marburg,50.8090106,8.7704695
70.5,77511,37099,40412,1099,Lüneburg,53.248706,10.407855
171.2,76842,37356,39486,449,Dorsten,51.6604071,6.9647431
62.0,76503,37608,38895,1234,Troisdorf,50.8153071,7.1593271
107.11,76247,37481,38766,712,Wilhelmshaven,53.5278793,8.106301
35.97,75799,36883,38916,2107,Gladbeck,51.5718665,6.9877343
65.83,75272,36756,38516,1143,Landshut,48.536217,12.1516551
66.89,74907,36670,38237,1120,Bayreuth,49.9449711,11.5734327
129.39,74835,36108,38727,578,Detmold,51.936284,8.8791526
51.68,74370,36409,37961,1439,Castrop-Rauxel,51.5646195,7.3106175
193.72,74206,36458,37748,383,Arnsberg,51.4002384,8.0605908
229.73,73921,36286,37635,322,Brandenburg an der Havel,52.4108261,12.5497933
62.45,72918,35432,37486,1168,Aschaffenburg,49.9706701,9.1384857
119.4,72409,35603,36806,606,Bocholt,51.8382715,6.6148669
87.02,71463,35125,36338,821,Lüdenscheid,51.218137,7.6396975
63.28,70713,35028,35685,1117,Kempten (Allgäu),47.7267063,10.3168835
104.05,70366,34810,35556,676,Fulda,50.5542328,9.6770448
176.02,70293,34005,36288,399,Celle,52.624056,10.081052
146.58,69147,34458,34689,472,Aalen,48.8375607,10.0929593
113.68,69047,34046,35001,607,Lippstadt,51.6747074,8.347194
47.66,67949,32750,35199,1426,Dinslaken,51.5623618,6.7345106
58.29,67656,33895,33761,1161,Rüsselsheim am Main,49.9819502,8.446357
113.96,67627,33332,34295,593,Kerpen,50.3008642,6.7397609
79.15,67265,33011,34254,850,Herford,52.1152245,8.6711118
86.5,66243,32664,33579,766,Neuwied,50.4302393,7.466302
84.47,65611,31599,34012,777,Weimar,50.9793301,11.3297921
50.83,65504,32668,32836,1289,Sindelfingen,48.7084162,9.0035455
102.11,65218,31970,33248,639,Plauen,50.4950632,12.1346523
37.22,65192,32453,32739,1752,Rosenheim,47.8539273,12.127262
85.5,65170,32435,32735,762,Dormagen,51.0934389,6.8416158
102.52,64588,31179,33409,630,Grevenbroich,51.0905783,6.5835365
86.12,64390,31154,33236,748,Neubrandenburg,53.5574458,13.2602781
69.93,63441,31422,32019,907,Friedrichshafen,47.6500279,9.4800858
113.81,62726,30575,32151,551,Schwäbisch Gmünd,48.7999036,9.7977584
37.33,62204,30351,31853,1666,Herten,51.5942009,7.1368071
78.37,62195,30807,31388,794,Offenburg,48.4695984,7.9429235
96.34,62172,30305,31867,645,Bergheim,50.9540457,6.6410004
80.95,61780,30663,31117,763,Neu-Ulm,48.3953489,10.0005211
79.49,61594,30032,31562,775,Garbsen,52.4276606,9.6005102
122.56,61277,29776,31501,500,Wesel,51.6576909,6.617087
51.22,61252,29876,31376,1196,Hürth,50.8807379,6.876568
139.49,60256,29737,30519,432,Euskirchen,50.6612623,6.7871219
88.56,60223,29278,30945,680,Unna,51.5348835,7.689014
50.81,60071,28501,31570,1182,Greifswald,54.095791,13.3815238
41.15,59908,29103,30805,1456,Langenfeld (Rheinland),51.1008952,6.9459377
54.59,59450,28865,30585,1089,Stralsund,54.3096314,13.0820846
59.21,59300,29501,29799,1002,Göppingen,48.7031377,9.6541116
147.85,58818,28657,30161,398,Frankfurt (Oder),52.3412273,14.549452
102.53,57916,27702,30214,565,Hameln,52.1039941,9.3561569
64.4,57440,27562,29878,892,Meerbusch,51.2652237,6.6760958
140.19,57420,27501,29919,410,Baden-Baden,48.7610716,8.239959
176.19,57075,28507,28568,324,Lingen (Ems),52.5224659,7.316584
67.53,56694,27284,29410,840,Görlitz,51.1563185,14.991018
34.22,56692,27764,28928,1657,Sankt Augustin,50.7752776,7.1895507
98.48,56584,27954,28630,575,Stolberg (Rhld.),50.7702908,6.2295504
72.15,56284,27201,29083,780,Pulheim,50.9979888,6.8025409
75.75,56132,27589,28543,741,Eschweiler,50.8175029,6.2630894
51.14,55995,26558,29437,1095,Bad Homburg v. d. Höhe,50.2363508,8.5980265
42.75,55917,27369,28548,1308,Waiblingen,48.8325659,9.3163822
71.97,55746,27551,28195,775,Langenhagen,52.443118,9.738994
25.95,55689,26861,28828,2146,Hilden,51.1674417,6.9307271
149.86,55619,27426,28193,371,Nordhorn,52.4359731,7.0707659
35.7,55067,27308,27759,1542,Schweinfurt,50.0518552,10.2220921
75.65,54629,26517,28112,722,Wetzlar,50.570561,8.531245
71.67,54620,26519,28101,762,Hattingen,51.4007175,7.1862486
100.05,54585,26388,28197,546,Bad Salzuflen,52.0771518,8.7554739
69.56,54401,26467,27934,782,Passau,48.5748229,13.4609744
117.09,53920,26353,27567,461,Neustadt an der Weinstraße,49.3539802,8.1350021
97.76,53458,26550,26908,547,Kleve,51.7895571,6.1376008
123.13,53278,26030,27248,433,Ahlen,51.7627633,7.8909086
45.06,53128,25954,27174,1179,Frechen,50.9096219,6.8081935
78.74,53034,26166,26868,674,Wolfenbüttel,52.1625283,10.5348215
55.56,52989,25315,27674,954,Bad Kreuznach,49.8490413,7.8626661
108.87,52688,26068,26620,484,Ibbenbüren,52.2774772,7.7151417
86.1,52177,25478,26699,606,Menden (Sauerland),51.43779,7.7953822
39.04,52093,25834,26259,1334,Böblingen,48.684969,9.0113444
95.41,51845,25564,26281,543,Gummersbach,51.0277658,7.5630545
58.98,51800,25947,25853,878,Rastatt,48.8574209,8.2088088
92.05,51788,25920,25868,563,Ravensburg,47.7811014,9.612468
119.84,51521,25482,26039,430,Peine,52.3117289,10.251904
42.71,51203,24998,26205,1199,Speyer,49.3165553,8.433615
21.36,50728,24907,25821,2375,Elmshorn,53.7532486,9.6524559
39.37,50670,24746,25924,1287,Lörrach,47.6120896,7.6607218
112.34,50659,25242,25417,451,Emden,53.3670541,7.2058304
163.88,50253,24592,25661,307,Goslar,51.9059936,10.4266284
67.8,50212,24605,25607,741,Willich,51.2641433,6.5446958
78.82,50151,25126,25025,636,Gronau (Westf.),52.2085731,7.0264443
119.89,50018,24230,25788,417,Erftstadt,50.8027168,6.8031625
88.59,49939,25165,24774,564,Freising,48.4008273,11.7439565
107.09,49895,24928,24967,466,Heidenheim an der Brenz,48.6767637,10.152923
86.72,49849,24930,24919,575,Rheda-Wiedenbrück,51.8428202,8.2985615
48.73,49845,24864,24981,1023,Leonberg,48.8012983,9.0150026
67.59,49775,25214,24561,736,Straubing,48.8839157,12.5955773
64.83,49566,24345,25221,765,Bad Oeynhausen,52.2014399,8.7981244
61.77,49518,24134,25384,802,Singen (Hohentwiel),47.7617515,8.8348709
44.9,49475,24606,24869,1102,Bergkamen,51.6149389,7.6362876
69.84,49420,24807,24613,708,Lahr/Schwarzwald,48.338896,7.8710825
43.88,49122,24061,25061,1119,Frankenthal (Pfalz),49.5353466,8.3541391
82.69,49074,23918,25156,593,Bornheim,50.7627913,6.9890508
161.93,48713,23119,25594,301,Cuxhaven,53.86878,8.698286
110.07,48708,23767,24941,443,Stade,53.599794,9.475438
31.68,48518,24062,24456,1532,Alsdorf,49.8885782,6.4643156
163.69,48492,23665,24827,296,Oranienburg,52.7529379,13.2457591
82.94,48341,23072,25269,583,Landau in der Pfalz,49.1982825,8.1123441
34.96,48337,23675,24662,1383,Dachau,48.2592477,11.4354419
85.81,48250,23492,24758,562,Soest,51.5725501,8.1061259
105.89,48190,23403,24787,455,Hennef (Sieg),50.7754417,7.2847945
184.83,47937,23457,24480,259,Dülmen,51.8283677,7.2791406
253.95,47387,23564,23823,187,Melle,52.200762,8.338667
45.34,47241,22908,24333,1042,Oberursel (Taunus),50.2062948,8.5461079
75.26,47097,23178,23919,626,Neunkirchen,50.5456179,8.1025344
33.38,47071,22827,24244,1410,Herzogenrath,50.8684545,6.0950514
93.04,47014,23693,23321,505,Bruchsal,49.124118,8.5980244
58.02,46963,22880,24083,809,Hof,50.3219015,11.9178807
134.4,46831,23278,23553,348,Albstadt,48.233048,8.9991483
65.04,46683,23229,23454,718,Rodgau,50.0176771,8.8853392
56.23,46571,22928,23643,828,Schwerte,51.445525,7.5674652
40.02,46386,22925,23461,1159,Kaufbeuren,47.8803788,10.622246
69.58,46300,22783,23517,665,Gotha,50.9494849,10.7014435
38.55,46295,22972,23323,1201,Filderstadt,48.6664,9.2199647
27.71,46205,22498,23707,1667,Fellbach,48.8181556,9.278085
70.11,46178,22848,23330,659,Memmingen,47.9863099,10.1808016
59.3,45891,22333,23558,774,Bünde,52.2004727,8.5828944
241.77,45588,22091,23497,189,Wittenberg,51.8666527,12.646761
36.12,45515,21670,23845,1260,Brühl,50.8291313,6.9037057
58.11,45381,22073,23308,781,Weinheim,49.5462349,8.6717458
358.96,45325,22450,22875,126,Neustadt am Rübenberge,52.5055135,9.4635826
127.67,45097,22516,22581,353,Lehrte,52.3749334,9.9748557
43.34,45005,22083,22922,1038,Falkensee,52.5606426,13.08824
142.27,44791,22173,22618,315,Rottenburg am Neckar,48.47696,8.9336788
21.54,44756,21967,22789,2078,Pinneberg,53.7278939,9.6979598
117.34,44572,21836,22736,380,Erkelenz,51.080992,6.3160684
104.19,44254,21422,22832,425,Bernau bei Berlin,52.6787254,13.5881114
37.39,44208,21153,23055,1182,Kaarst,51.226675,6.6193924
41.73,44022,21256,22766,1055,Wismar,53.8909832,11.4647932
105.39,43941,21621,22320,417,Gifhorn,52.5780612,10.6613448
31.29,43808,21524,22284,1400,Bietigheim-Bissingen,48.9493243,9.1364229
26.88,43801,20976,22825,1630,Erkrath,51.2209866,6.9056079
92.21,43620,21576,22044,473,Heinsberg,51.0654268,6.0984461
153.24,43589,21513,22076,284,Borken,51.8444777,6.8583277
23.05,43524,20992,22532,1888,Monheim am Rhein,51.0909476,6.8812387
83.87,43425,21396,22029,518,Nettetal,51.3155092,6.2714171
197.29,43375,21461,21914,220,Aurich,53.5122853,7.3915284
70.57,43188,20955,22233,612,Weiden i.d.OPf.,49.6752749,12.1631636
40.95,43001,21060,21941,1050,Kamen,51.5918019,7.6616804
104.17,42817,21168,21649,411,Eisenach,50.9747134,10.3193565
104.19,42743,20927,21816,410,Schwäbisch Hall,49.1123963,9.7369047
50.14,42676,21100,21576,851,Amberg,49.4543662,11.8474021
34.16,42560,20432,22128,1246,Laatzen,52.3077423,9.8132829
82.61,42498,20751,21747,514,Homburg,49.3181673,7.3340336
53.27,42389,20916,21473,796,Dreieich,50.011974,8.7123912
99.91,42311,20297,22014,423,Ansbach,49.2888745,10.5597693
40.47,42178,20854,21324,1042,Kirchheim unter Teck,48.6480545,9.4510227
48.29,42139,20616,21523,873,Coburg,50.2582226,10.964561
23.66,42025,20669,21356,1776,Siegburg,50.7928332,7.2070774
21.61,41822,20347,21475,1935,Germering,48.1373576,11.3614338
57.83,41758,20526,21232,722,Bensheim,49.6977,8.6288
93.63,41704,20357,21347,445,Eberswalde,52.8350807,13.7996542
125.74,41666,20278,21388,331,Wunstorf,52.4257979,9.4294425
76.2,41642,20249,21393,546,Königswinter,50.6739719,7.1930989
61.27,41594,20544,21050,679,Hückelhoven,51.0552368,6.2247322
46.88,41447,20658,20789,884,Nürtingen,48.6265854,9.3365463
40.8,41380,20296,21084,1014,Schwabach,49.3290521,11.0207677
74.76,41290,19880,21410,552,Buchholz in der Nordheide,53.3333021,9.8666653
76.69,41256,20413,20843,538,Buxtehude,53.4767351,9.7003941
79.01,41255,20356,20899,522,Neumarkt i.d.OPf.,49.279624,11.4594662
108.24,41233,20327,20906,381,Nordhausen,51.5051574,10.7925317
48.31,41045,20683,20362,850,Freiberg,50.9169415,13.3428889
61.35,40941,20076,20865,667,Pirmasens,49.1996961,7.6087847
56.83,40614,20060,20554,715,Schorndorf,48.8055169,9.5272665
151.24,40580,20313,20267,268,Ahaus,52.0761541,7.004876
100.85,40531,20014,20517,402,Lemgo,52.0280674,8.9012894
29.89,40526,20024,20502,1356,Leinfelden-Echterdingen,48.6901796,9.1525725
57.43,40412,19733,20679,704,Hofheim am Taunus,50.09494,8.42285
67.1,40358,19729,20629,601,Völklingen,49.2522866,6.859519
59.51,40162,19711,20451,675,Löhne,52.1965102,8.7139521
143.27,40069,20226,19843,280,Halberstadt,51.8953514,11.0520563
29.12,40009,19714,20295,1374,Langen (Hessen),49.9927036,8.6671682
22.81,39833,19708,20125,1746,Ostfildern,48.7178603,9.2630693
56.75,39763,19326,20437,701,Ettlingen,48.9414188,8.4076347
32.41,39698,19586,20112,1225,Maintal,50.1438711,8.8371266
40.46,39477,19229,20248,976,Freital,51.016265,13.6530329
35.79,39424,19464,19960,1102,Niederkassel,50.8137102,7.0351942
24.29,39420,19349,20071,1623,Neu-Isenburg,50.0464196,8.6717748
53.06,39303,19050,20253,741,Pirna,50.9616923,13.9386643
42.56,39197,18844,20353,921,Mettmann,51.2527778,6.9777778
113.96,39181,19310,19871,344,Weißenfels,51.1999793,11.9667857
198.69,39147,20192,18955,197,Ilmenau,50.6867695,10.9142385
96.04,39096,19205,19891,407,Königs Wusterhausen,52.2994511,13.6244389
269.24,38946,18880,20066,145,Stendal,52.6050782,11.8594279
118.44,38841,19746,19095,328,Papenburg,53.0822606,7.3928398
34.39,38750,18926,19824,1127,Würselen,50.8178682,6.1341108
63.14,38731,19009,19722,613,Kamp-Lintfort,51.5017981,6.547923
75.07,38721,19258,19463,516,Kehl,48.5728929,7.8109768
23.37,38355,18979,19376,1641,Wesseling,50.8247166,6.9810852
140.26,38321,18837,19484,273,Greven,52.0929254,7.6120326
32.52,38187,18645,19542,1174,Fürstenfeldbruck,48.1794705,11.2547202
39.38,38184,19104,19080,970,Backnang,48.9470756,9.4297925
66.67,38039,18518,19521,571,Bautzen / Budyšin,51.1813907,14.4275735
159.03,38033,18427,19606,239,Haltern am See,51.7430516,7.187221
87.23,37850,18473,19377,434,Bitterfeld-Wolfen,51.6425032,12.3076334
176.88,37847,18471,19376,214,Warendorf,51.9532449,7.9912335
90.45,37784,19008,18776,418,Tuttlingen,47.9844315,8.8186606
111.46,37452,18560,18892,336,Beckum,51.7555148,8.041135
70.86,37280,18436,18844,526,Cloppenburg,52.8461339,8.0438783
141.36,37259,18415,18844,264,Coesfeld,51.9458943,7.1691108
54.61,37169,17972,19197,681,Erding,48.3064441,11.9076579
141.62,36986,18488,18498,261,Suhl,50.6086518,10.6926437
126.99,36978,18345,18633,291,Sinsheim,49.2553,8.87722
135.52,36641,17804,18837,270,Mühlhausen/Thüringen,51.2094255,10.4589044
72.06,36556,18115,18441,507,Emsdetten,52.174687,7.5301756
45.16,36506,18055,18451,808,Limburg a. d. Lahn,50.406558,8.075668
109.77,36499,17951,18548,333,Winsen (Luhe),53.3636474,10.2059206
73.31,36390,17873,18517,496,Ingelheim am Rhein,49.9752749,8.0547274
105.22,36300,18155,18145,345,Porta Westfalica,52.2394431,8.924762
53.49,36282,17829,18453,678,Voerde (Niederrhein),51.5975224,6.6811994
109.08,36239,18418,17821,332,Crailsheim,49.1365626,10.0720195
188.4,36137,18015,18122,192,Meppen,52.6947452,7.2909824
25.68,36021,17621,18400,1403,Bad Vilbel,50.19339,8.74918
77.14,35757,18294,17463,464,Deggendorf,48.7814115,13.0006423
115.43,35520,17790,17730,308,Goch,51.6755765,6.1593045
111.67,35456,17670,17786,318,Steinfurt,52.138683,7.3678356
44.13,35359,17947,17412,801,Mörfelden-Walldorf,49.9923836,8.5622468
76.04,35311,17337,17974,464,Lage,51.9914084,8.7919583
21.68,35268,17532,17736,1627,Dietzenbach,50.0171926,8.784277
66.1,35200,17227,17973,533,Datteln,51.651468,7.3385906
70.11,35163,17110,18053,502,Leer (Ostfriesland),53.2332168,7.4567555
49.95,35059,16895,18164,702,St. Ingbert,49.2788378,7.1156707
90.32,35054,17120,17934,388,Balingen,48.2737512,8.8557862
102.81,34955,17261,17694,340,Barsinghausen,52.30223,9.4623741
43.3,34893,16856,18037,806,Saarlouis,49.3164661,6.749846
68.8,34888,16898,17990,507,Kempen,51.3642126,6.4195011
54.08,34798,17220,17578,643,Seelze,52.3964639,9.594287
53.87,34721,17053,17668,645,Merseburg,51.3564413,11.996148
74.8,34673,16870,17803,464,Wermelskirchen,51.1406481,7.2156901
33.81,34617,16757,17860,1024,Wedel,53.5810226,9.7038772
70.64,34613,17203,17410,490,Zweibrücken,49.248655,7.3641981
96.97,34604,17334,17270,357,Geldern,51.5169736,6.3228189
35.29,34601,16433,18168,980,Ahrensburg,53.6736529,10.2358999
48.41,34348,16846,17502,710,Viernheim,49.5401213,8.5785313
72.15,34331,16906,17425,476,Biberach an der Riß,48.0984413,9.7899938
55.24,34324,16688,17636,621,Korschenbroich,51.1902651,6.5143539
14.65,34177,16825,17352,2333,Kornwestheim,48.8611498,9.1873875
87.89,34145,17010,17135,388,Vechta,52.7310691,8.2873162
136.84,33991,16472,17519,248,Uelzen,52.9840679,10.5385882
67.66,33916,16816,17100,501,Hemer,51.3854116,7.7661798
62.84,33849,16704,17145,539,Rheinfelden (Baden),47.5605924,7.7861959
32.54,33809,16042,17767,1039,Bad Nauheim,50.3681107,8.7473608
26.14,33804,16322,17482,1293,Radebeul,51.0999765,13.6767995
360.74,33635,16248,17387,93,Schwedt/Oder,53.0586366,14.2840858
44.44,33610,16410,17200,756,Forchheim,49.7187319,11.0595749
90.39,33359,16767,16592,369,Jülich,50.9220931,6.3611015
72.27,33053,16433,16620,457,Lampertheim,49.6239449,8.4093474
65.7,32961,16173,16788,502,Herrenberg,48.5963819,8.8702368
68.06,32961,16040,16921,484,Achim,53.0120987,9.0360486
157.28,32874,16706,16168,209,Delbrück,51.7649178,8.5594953
70.67,32763,16242,16521,464,Fürstenwalde/Spree,52.3580209,14.064985
33.25,32763,16212,16551,985,Geesthacht,53.4374683,10.3678235
58.55,32575,15679,16896,556,Radolfzell am Bodensee,47.7372802,8.9702755
64.53,32423,15689,16734,502,Nienburg (Weser),52.6487602,9.2578105
130.25,32336,15683,16653,248,Naumburg (Saale),51.1525648,11.8099186
28.54,32319,15545,16774,1132,Itzehoe,53.919448,9.5172441
80.4,32157,16149,16008,400,Emmerich am Rhein,51.8322137,6.2428283
113.92,32106,15530,16576,282,Bernburg (Saale),51.7930788,11.7391606
55.49,32022,15696,16326,577,Georgsmarienhütte,52.2,8.05
170.5,31943,15289,16654,187,Wernigerode,51.8344172,10.7862526
38.66,31918,15585,16333,826,Oer-Erkenschwick,51.6398512,7.2605914
305.19,31803,15578,16225,104,Neuruppin,52.9243859,12.8092919
183.39,31801,16243,15558,173,Bramsche,52.4075184,7.9791742
356.56,31713,15402,16311,89,Geestland,53.6096722,8.5943804
45.69,31580,15140,16440,691,Altenburg,50.9852411,12.4340988
94.99,31404,15158,16246,331,Hoyerswerda / Wojerecy,51.4333103,14.250083
112.56,31302,15247,16055,278,Burgdorf,52.4438008,10.0078364
71.07,31251,15409,15842,440,Kreuztal,50.9598627,7.9896202
26.34,31198,15198,16000,1184,Gevelsberg,51.3207417,7.3404792
50.18,31131,15745,15386,620,Friedberg (Hessen),50.3352682,8.7539306
75.24,31096,15222,15874,413,Rheinberg,51.5458979,6.6014097
19.46,31065,15131,15934,1596,Weil am Rhein,47.5932802,7.6116133
76.35,30938,15802,15136,405,Werl,51.5533457,7.9155558
65.62,30894,15085,15809,471,Lohmar,50.8402243,7.2127276
336.46,30890,15251,15639,92,Walsrode,52.8625395,9.5883023
81.29,30881,15525,15356,380,Neuburg a.d.Donau,48.7371951,11.1795268
67.02,30820,14900,15920,460,Taunusstein,50.1390989,8.1503316
73.87,30770,15098,15672,417,Bad Hersfeld,50.8604177,9.6767709
231.92,30725,15021,15704,132,Einbeck,51.8185067,9.8678465
147.17,30717,14960,15757,209,Osterholz-Scharmbeck,53.2281763,8.7948239
81.25,30670,15049,15621,377,Friedberg,48.3551962,10.9786498
24.19,30558,14627,15931,1263,Haan,51.1954956,7.0085328
23.75,30545,15548,14997,1286,Rendsburg,54.3000225,9.6516356
57.77,30502,14836,15666,528,Ennepetal,51.2967192,7.3693335
110.31,30461,15375,15086,276,Rietberg,51.8074106,8.4286614
53.34,30408,14811,15597,570,Andernach,50.4391924,7.4023145
86.52,30402,14819,15583,351,Schönebeck (Elbe),52.0205998,11.7383277
123.8,30239,15101,15138,244,Schwandorf,49.3261854,12.1092708
65.01,30190,14902,15288,464,Gaggenau,48.8030291,8.3201799
