Berlin, 52.510885, 13.3989367
Hamburg, 53.550341, 10.000654
München, 48.1371079, 11.5753822
Köln, 50.938361, 6.959974
Frankfurt am Main, 50.1106444, 8.6820917
Stuttgart, 48.7784485, 9.1800132
Düsseldorf, 51.2254018, 6.7763137
Leipzig, 51.3406321, 12.3747329
Dortmund, 51.5142273, 7.4652789
Essen, 51.4582235, 7.0158171
Bremen, 53.0758196, 8.8071646
Dresden, 51.0493286, 13.7381437
Hannover, 52.3744779, 9.7385532
Nürnberg, 49.453872, 11.077298
Duisburg, 51.434999, 6.759562
Bochum, 51.4818111, 7.2196635
Wuppertal, 51.264018, 7.1780374
Bielefeld, 52.0191005, 8.531007
Bonn, 50.7352621, 7.1024635
Münster, 51.9625101, 7.6251879
Mannheim, 49.4892913, 8.4673098
Karlsruhe, 49.0068705, 8.4034195
Augsburg, 48.3690341, 10.8979522
Wiesbaden, 50.0820384, 8.2416556
Mönchengladbach, 51.1947131, 6.4353792
Gelsenkirchen, 51.5110321, 7.0960124
Aachen, 50.776351, 6.083862
Braunschweig, 52.2646577, 10.5236066
Chemnitz, 50.8323531, 12.918914
Kiel, 54.3227085, 10.135555
Halle (Saale), 51.4824354, 11.9712985
Magdeburg, 52.1315889, 11.6399609
Freiburg im Breisgau, 47.9960901, 7.8494005
Krefeld, 51.3331205, 6.5623343
Mainz, 49.9995205, 8.2736253
Lübeck, 53.866444, 10.684738
Erfurt, 50.9777974, 11.0287364
Oberhausen, 51.4696137, 6.8514435
Rostock, 54.0886707, 12.1400211
Kassel, 51.3157833, 9.4978479
Hagen, 51.3582945, 7.473296
Potsdam, 52.4009309, 13.0591397
Saarbrücken, 49.234362, 6.996379
Hamm, 50.0165178, 6.4184628
Ludwigshafen am Rhein, 49.4704113, 8.4381568
Oldenburg (Oldenburg), 53.1389753, 8.2146017
Mülheim an der Ruhr, 51.4272925, 6.8829192
Osnabrück, 52.2719595, 8.047635
Leverkusen, 51.0324743, 6.9881194
Darmstadt, 49.8851869, 8.6736295
Heidelberg, 49.4093582, 8.694724
Solingen, 51.1721629, 7.0845893
Regensburg, 49.0195333, 12.0974869
Herne, 51.5380394, 7.219985
Paderborn, 51.7177044, 8.752653
Neuss, 51.1981778, 6.6916476
Ingolstadt, 48.7630165, 11.4250395
Offenbach am Main, 50.1055002, 8.7610698
Fürth, 49.4885711, 10.9587203
Heilbronn, 49.142291, 9.218655
Ulm, 48.3984968, 9.9912458
Pforzheim, 48.890934, 8.7025509
Würzburg, 49.7780356, 9.9434769
Wolfsburg, 52.4205588, 10.7861682
Göttingen, 51.5328328, 9.9351811
Bottrop, 51.521581, 6.929204
Reutlingen, 48.4919508, 9.2114144
Erlangen, 49.5891571, 10.9812072
Koblenz, 50.3533278, 7.5943951
Bremerhaven, 53.5505392, 8.5851945
Remscheid, 51.1798706, 7.1943544
Trier, 49.7596208, 6.6441878
Bergisch Gladbach, 50.9929303, 7.1277379
Recklinghausen, 51.6143815, 7.1978546
Jena, 50.9281717, 11.5879359
Moers, 51.451283, 6.62843
Salzgitter, 52.1503721, 10.3593147
Hanau, 50.132881, 8.9169797
Gütersloh, 51.9063997,  8.3782078
Hildesheim, 52.1527188, 9.9518083
Siegen, 50.8751175, 8.0256131
Kaiserslautern, 49.4432174, 7.7689951
Cottbus/Chóśebuz, 51.7567447, 14.3357307
Schwerin, 53.6288297, 11.4148038
Esslingen am Neckar, 48.7427584, 9.3071685
Witten, 51.4370171, 7.335124
Gießen, 50.5808795, 8.6938161
Ludwigsburg, 48.8953937, 9.1895147
Gera, 50.8765537, 12.0832666
Tübingen, 48.5203263, 9.053596
Düren, 50.8031684, 6.4820806
Flensburg, 54.7833021, 9.4333264
Iserlohn, 51.3746778, 7.6999713
